11010001;Paha Atas 1.0 Kg;;100.000;9
11010002;Drum stick 1 kg;;0.0000;8
11010003;Chicken wing 1 kg;;200.000;9
11010004;Boneless Paha 1.0 Kg Premium;;100.000;10
11010006;Bakso Java 500gr;;200.000;20
11010007;Chicken teriyaki 500g;;440.000;9
11010008;Naget ayam fancy 250 gr;;200.000;58
11010009;Bart's french fries 1 kg;;0.0000;8
11010014;Naget ayam hati 250 g;;390.000;20
11010015;Naget ayam fancy 500 g ;;320.000;12
11010018;Lidah Slice 500 gr (AUS);;0.0000;20
11010019;Rib Eye Steak 200 gr (AUS);;200.000;20
11010020;Striploin Steak 200 gr (AUS);;200.000;20
11010021;Yakiniku / Teriyaki Slice Less Fat 500 gr (AUS);;200.000;33
11010022;Oxtail Cut 500 gr (AUS);;400.000;31
11010023;All Variant Super Less Fat 500 gr (AUS);;190.000;28
11010024;Iga Galbi 500 gr (AUS);;50.000;5
11010025;Iga Sop Super (Rib Plate) 500 gr (AUS);;380.000;38
11010026;Sukiyaki Slice 500 gr (AUS);;380.000;37
11010027;Daging Rendang 500 gr (AUS);;200.000;20
11010028;Daging Giling 500 gr (AUS);;90.000;9
11010029;Bratwurst sausage mini ori 500 g;;200.000;50
11010031;Bratwurst sausage mini keju 500 g;;120.000;10
8896360571210;Pulosari 5 KG;;250.000;22
8986360571294;Sumur Tujuh;;220.000;25
8991188943543;Sasa santan kelapa 200 ml;;210.000;24
8997221220466;Nuget Fancy 250gr;;600.000;58
8997221221524;JAVA BEEF PATTIES 500GR;;360.000;34
8997221222132;MINIPAO COKELAT 480GR;;180.000;18
8997221223849;MINIPAO KEJU 480GR;;80.000;9
8997221223856;MINIPAO STROBERI 480GR;;120.000;12
8997221224242;MINIPAO AYAM 480GR;;230.000;23
8997221224259;MINIPAO SAPI 480GR;;110.000;11
8997221224877;Spicy chicken 500g ;;130.000;34
8997221225164;Sosis Royal Mini;;110.000;0
8997221227595;ROYAL JAVA BAKSO SAPI 450GR;;390.000;75
AP1;W99 Ayam  Parting 10 Ukuran 1.0 Kg;;0.0000;0
AP1P;W99 Ayam  Parting 10 Ukuran 1.0 Kg Premium;;0.0000;0
BD1;W99 Boneless Dada 1.0 Kg;;100.000;10
BD1P;Boneless breast 1 kg;;0.0000;0
BP1;W99 Boneless Paha 1.0 Kg;;0.0000;10
KL1;W99 Kulit 1.0 Kg;;0.0000;0
KL1P;W99 Kulit 1.0 Kg Premium;;90.000;9
OLN010;Striploin Steak 400 gr (AUS);;0.0000;20
OLN011;Iga Bakar Back Ribs 500 gr (AUS);;0.0000;0
OLN012;Iga Bakar Back Ribs 1 kg (AUS);;0.0000;0
OLN015;All Variant Tumis / Sop 500 gr (AUS);;0.0000;0
OLN016;All Variant Tumis / Sop 1 kg (AUS);;0.0000;0
OLN0290;Tenderloin Cube 300 gr;;0.0000;0
OLN032;Oxtail Super 500 gr;;0.0000;31
PA1P;W99 Paha Atas 1.0 Kg Premium;;0.0000;9
PB1;W99 Paha Bawah 1.0 Kg;;70.000;8
PB1P;W99 Paha Bawah 1.0 Kg Premium;;0.0000;0
SU1;W99 Sayap Utuh 1.0 Kg;;0.0000;0
SU1P;W99 Sayap Utuh 1.0 Kg Premium;;90.000;0
TLR001;Telur Ayam;;555.250;0
WK004;W99 Karkas 0.4 Kg;;0.0000;0
WK005;W99 Karkas 0.5 Kg;;0.0000;0
WK006;W99 Karkas 0.6 Kg;;0.0000;0
WK007;W99 Karkas 0.7 Kg;;0.0000;38
WK008;W99 Karkas 0.8 Kg;;0.0000;0
WK009;W99 Karkas 0.9 Kg;;0.0000;0
WK010;W99 Karkas 1.0 Kg;;0.0000;0
WK011;W99 Karkas 1.1 Kg;;0.0000;0
WK012;W99 Karkas 1.2 Kg;;0.0000;0
WK013;W99 Karkas 1.3 Kg;;0.0000;0
WM027;Bone In Sirloin Steak 250 gr (AUS);;0.0000;0
WMS002;Daging Rendang 1 kg (AUS);;0.0000;20
WMS004;Sukiyaki Slice 1 kg (AUS);;0.0000;37
WMS006;Yakiniku / Teriyaki Slice Less Fat 1 kg (AUS);;0.0000;33
WMS011;Tulang Sop Neckbone 500 gr (AUS);;0.0000;0
WMS012;Tulang Sop Neckbone 1 kg (AUS);;0.0000;0
WMS016;All Variant Super Less Fat 1kg (AUS);;0.0000;28
WMS018;Rib Eye Steak 400 gr (AUS);;0.0000;20
WMS022;Oxtail Cut 1 kg (AUS);;0.0000;31
WMS024;Daging Giling 1 kg (AUS);;0.0000;9
WMS026;Iga Sop Super (Rib Plate) 1 kg;;0.0000;0
WMS029;Lidah Slice 250 gr (AUS);;200.000;20
